cyclone_id,cyclone_num,station_id,time,day_rain
195919,5907,58477,1959/9/17,11
196006,6001,57297,1960/6/9,14
196006,6001,57799,1960/6/7,8
196006,6001,57799,1960/6/8,2
196006,6001,57799,1960/6/9,27
196006,6001,57799,1960/6/10,51
196006,6001,57972,1960/6/8,9
196006,6001,57972,1960/6/9,21
196006,6001,57993,1960/6/7,8
196006,6001,57993,1960/6/8,1
196006,6001,57993,1960/6/9,4
196006,6001,57993,1960/6/10,2
196006,6001,58150,1960/6/7,6
196006,6001,58150,1960/6/8,1
196006,6001,58150,1960/6/9,4
196006,6001,58203,1960/6/8,5
196006,6001,58203,1960/6/9,13
196006,6001,58221,1960/6/7,2
196006,6001,58221,1960/6/8,3
196006,6001,58221,1960/6/9,11
196006,6001,58238,1960/6/7,8
196006,6001,58238,1960/6/9,14
196006,6001,58238,1960/6/10,3
196006,6001,58251,1960/6/7,16
196006,6001,58251,1960/6/9,30
196006,6001,58251,1960/6/10,9
196006,6001,58265,1960/6/7,46
196006,6001,58265,1960/6/8,10
196006,6001,58265,1960/6/9,93
196006,6001,58265,1960/6/10,61
196006,6001,58362,1960/6/7,36
196006,6001,58362,1960/6/8,3
196006,6001,58362,1960/6/9,113
196006,6001,58362,1960/6/10,25
196006,6001,58457,1960/6/7,14
196006,6001,58457,1960/6/8,21
196006,6001,58457,1960/6/9,8
196006,6001,58457,1960/6/10,8
196006,6001,58472,1960/6/8,2
196006,6001,58472,1960/6/9,20
196006,6001,58477,1960/6/8,5
196006,6001,58477,1960/6/9,11
196006,6001,58477,1960/6/10,63
196006,6001,58527,1960/6/8,85
196006,6001,58527,1960/6/9,36
196006,6001,58606,1960/6/7,11
196006,6001,58606,1960/6/8,11
196006,6001,58606,1960/6/9,1
196006,6001,58606,1960/6/10,2
196006,6001,58666,1960/6/8,21
196006,6001,58666,1960/6/9,15
196006,6001,58666,1960/6/10,44
196006,6001,58725,1960/6/7,21
196006,6001,58725,1960/6/8,14
196006,6001,58725,1960/6/9,46
196006,6001,58725,1960/6/10,7
196006,6001,58847,1960/6/6,4
196006,6001,58847,1960/6/7,2
196006,6001,58847,1960/6/8,24
196006,6001,58847,1960/6/9,95
196006,6001,58847,1960/6/10,2
196006,6001,59082,1960/6/7,7
196006,6001,59082,1960/6/9,8
196006,6001,59134,1960/6/7,6
196006,6001,59134,1960/6/8,37
196006,6001,59134,1960/6/9,88
196006,6001,59134,1960/6/10,2
196006,6001,59287,1960/6/6,1
196006,6001,59287,1960/6/7,9
196006,6001,59287,1960/6/8,18
196006,6001,59287,1960/6/9,1
196006,6001,59293,1960/6/7,4
196006,6001,59293,1960/6/8,73
196006,6001,59293,1960/6/9,37
196006,6001,59316,1960/6/6,9
