cyclone_id,cyclone_num,station_id,speed_highwind,time
198933,8928,59758,13,1989/10/13 4:00
198933,8928,59758,13,1989/10/13 4:00
198933,8928,59838,20,1989/10/13 7:30
198934,8929,59838,17,1989/10/22 1:30
199006,9004,59501,11,1990/6/16 11:13
199006,9004,59644,12,1990/6/18 14:25
199006,9004,59663,13,1990/6/18 8:44
199006,9004,59838,14,1990/6/18 9:30
199008,9005,54776,16,1990/6/25 6:35
199008,9005,54857,13,1990/6/24 17:08
199008,9005,58251,12,1990/6/24 17:08
199008,9005,58265,14,1990/6/24 17:10
199008,9005,58362,12,1990/6/24 10:20
199008,9005,58472,21,1990/6/24 14:36
199008,9005,58477,16,1990/6/24 10:59
199008,9005,58666,23,1990/6/24 10:10
199008,9005,58847,12,1990/6/24 2:50
199008,9005,59358,14,1990/6/23 19:00
199008,9005,59358,14,1990/6/23 20:00
199009,9006,58472,13,1990/6/30 3:49
199009,9006,58666,18,1990/6/30 16:30
199009,9006,58847,13,1990/6/30 1:40
199009,9006,59134,23,1990/6/30 20:27
199009,9006,59316,15,1990/6/29 12:40
199010,9007,58472,12,1990/7/11 17:31
199010,9007,58666,13,1990/7/11 18:52
199015,9009,58666,11,1990/8/1 20:21
199015,9009,58847,18,1990/7/29 12:05
199015,9009,58847,18,1990/7/29 12:05
199015,9009,58847,18,1990/7/29 12:05
199015,9009,59134,14,1990/7/31 2:10
199015,9009,59134,14,1990/7/31 2:10
199015,9009,59316,18,1990/7/31 0:20
199015,9009,59501,19,1990/7/31 4:00
199015,9009,59663,11,1990/7/31 1:10
199018,9012,54776,14,1990/8/21 11:21
199018,9012,54857,12,1990/8/21 10:55
199018,9012,58150,12,1990/8/21 11:57
199018,9012,58472,16,1990/8/21 6:50
199018,9012,58472,16,1990/8/21 6:50
199018,9012,58666,19,1990/8/20 22:17
199018,9012,58847,13,1990/8/22 16:11
199018,9012,59134,16,1990/8/20 17:30
199018,9012,59316,13,1990/8/22 1:50
199021,9016,59134,13,1990/8/27 12:49
199021,9016,59134,13,1990/8/28 3:11
