"id","station_id","station_name","lat","long","altitude_sensor","altitude_site"
"37","52866","XINING","36 37 00N","101 46 00E","2296","999998"
"38","52983","YU ZHONG","35 52 00N","104 09 00E","1875","999998"
"39","53068","ERENHOT","43 39 00N","112 00 00E","966","999998"
"40","53083","NARAN BULAG","44 37 00N","114 09 00E","1183","999998"
"41","53149","MANDAL","42 32 00N","110 08 00E","1223","999998"
"42","53192","ABAG QI","44 01 00N","114 57 00E","1127","999998"
"43","53231","HAILS","41 27 00N","106 23 00E","1510","999998"
"44","53336","HALIUT","41 34 00N","108 31 00E","1290","999998"
"45","53391","HUADE","41 54 00N","114 00 00E","1484","999998"
"46","53463","HOHHOT","40 51 00N","111 34 00E","1153","999998"
"47","53513","LINHE","40 44 00N","107 22 00E","1042","1041"
"48","53529","OTOG QI","39 06 00N","107 59 00E","1381","999998"
"49","53543","DONGSHENG","39 50 00N","109 59 00E","1459","999998"
"50","53564","HEQU","39 23 00N","111 09 00E","861","999998"
"51","53588","WUTAI SHAN","38 57 00N","113 31 00E","2210","999998"
"52","53614","YINCHUAN","38 28 00N","106 12 00E","1112","999998"
"53","53646","YULIN","38 16 00N","109 47 00E","1158","999998"
"54","53723","YANCHI","37 48 00N","107 23 00E","1356","999998"
"55","53772","TAIYUAN","37 37 00N","112 35 00E","777","999998"
"56","53798","XINGTAI","37 04 00N","114 30 00E","78","999998"
"57","53915","PINGLIANG","35 33 00N","106 40 00E","1348","999998"
"58","53959","YUNCHENG","35 03 00N","111 03 00E","365","999998"
"59","54012","XI UJIMQIN QI","44 35 00N","117 36 00E","997","999998"
"60","54026","JARUD QI","44 34 00N","120 54 00E","266","999998"
"61","54027","LINDONG","43 59 00N","119 24 00E","485","999998"
"62","54094","MUDANJIANG","44 30 00N","129 40 00E","306","999998"
"63","54102","XILIN HOT","43 57 00N","116 07 00E","1004","999998"
"64","54135","TONGLIAO","43 36 00N","122 16 00E","180","999998"
"65","54161","CHANGCHUN","43 54 00N","125 13 00E","238","999998"
"66","54208","DUOLUN","42 11 00N","116 28 00E","1247","999998"
"67","54218","CHIFENG","42 18 00N","118 50 00E","669","999998"
"68","54236","ZHANGWU","42 25 00N","122 32 00E","84","999998"
"69","54273","HUADIAN","42 59 00N","126 45 00E","264","999998"
"70","54292","YANJI","42 52 00N","129 30 00E","258","999998"
"71","54342","SHENYANG","41 44 00N","123 31 00E","49","999998"
"72","54374","LINJIANG","41 48 00N","126 53 00E","381","385"
"73","54377","JI'AN","41 09 00N","126 13 00E","225","999998"
"74","54401","ZHANGJIAKOU","40 47 00N","114 53 00E","774","999998"
"75","54423","CHENGDE","40 58 00N","117 55 00E","423","999998"
"76","54471","YINGKOU","40 40 00N","122 10 00E","5","999998"
"77","54497","DANDONG","40 03 00N","124 20 00E","14","999998"
"78","54511","BEIJING","39 56 00N","116 17 00E","32","999998"
"79","54539","LETING","39 26 00N","118 54 00E","12","999998"
"80","54618","POTOU","38 05 00N","116 33 00E","13","999998"
"81","54662","DALIAN","38 54 00N","121 38 00E","97","999998"
"82","54753","LONGKOU","37 37 00N","120 19 00E","5","999998"
"83","54776","CHENGSHANTOU","37 24 00N","122 41 00E","47","999998"
"84","54823","JINAN","36 36 00N","117 03 00E","169","999998"
"85","54843","WEIFANG","36 46 00N","119 11 00E","22","999998"
"86","54857","QINGDAO","36 04 00N","120 20 00E","77","999998"
"87","54909","DINGTAO","35 05 00N","115 31 00E","52","999998"
"88","55228","SHIQUANHE","32 30 00N","80 05 00E","4280","999998"
"89","55299","NAGQU","31 29 00N","92 04 00E","4508","999998"
